time[UT]  C01 C02 C03 C04 C05 C06 C07 C08 C09 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 
19:00:04   51  46  47  58  82  40  51  58  42  63  42  48  71  51  68  73  68  76  63  42  76  52  37  63  58  63  63  44  38 
19:00:12   70  42  76  42  43  53  58  58  63  42  58  42  42  64  79  76  72  42  68  76  70  76  44  57  40  41  61  54  65 
19:00:20   72  58  44  60  63  63  51  79  58  63  58  54  51  34  49  51  58  50  45  51  35  52  51  37  47  47  55  45  53 
19:00:28   53  39  38  62  42  51  51  38  46  57  37  50  42  43  51  42  44  63  54  55  51  60  63  50  62  79  74  63  58 
19:00:36   72  58  50  63  72  53  76  63  45  42  66  41  51  63  45  53  63  67  42  51  52  70  49  47  36  46  44  51  40 
19:00:44   42  57  53  52  63  60  42  47  42  36  54  68  54  31  65  76  68  70  55  68  61  68  52  51  52  63  55  51  51 
19:00:52   63  32  57  42  68  58  51  62  47  63  52  51  60  68  68  76  63  58  51  53  49  51  76  51  40  49  47  72  58 
19:01:00   42  53  37  63  68  45  57  52  54  63  72  63  46  63  57  68  63  41  58  54  40  42  46  42  58  53  56  63  42 
19:01:08   53  35  53  42  44  40  42  57  58  46  50  68  36  42  57  51  51  60  72  34  61  68  62  68  68  58  79  63  68 
19:01:16   51  84  63  66  51  68  63  68  53  53  52  36  58  40  42  50  49  42  30  46  53  42  39  45  58  51  42  44  57 
19:01:24   36  42  58  42  41  26  44  42  41  50  42  58  38  47  54  68  58  68  69  58  53  61  51  62  42  42  49  61  63 
19:01:32   34  68  63  32  58  58  63  68  76  49  62  38  42  87  38  58  42  58  58  49  53  47  51  33  44  42  48  45  42 
19:01:40   47  39  45  48  40  57  42  57  38  62  38  53  37  44  34  58  45  41  52  40  53  42  51  44  63  41  42  35  50 
19:01:48   50  51  41  34  41  44  44  50  60  42  41  32  38  62  51  42  58  58  42  45  50  40  38  53  47  58  27  42  41 
19:01:56   38  29  35  45  47  40  44  46  53  45  43  37  57  41  37  42  41  52  55  38  50  50  32  34  40  49  37  32  67 
19:02:04   37  40  37  50  42  36  46  40  39  53  42  52  37  34  40  58  42  51  38  41  44  51  32  39  40  36  29  30  47 
19:02:12   29  42  28  50  44  48  30  42  31  61  47  33  38  38  52  41  36  42  39  46  57  34  40  40  31  40  35  41  41 
19:02:20   31  42  58  47  38  41  37  38  46  28  32  41  51  50  58  50  31  41  33  43  41  51  42  38  50  37  38  40  58 
19:02:28   51  36  30  30  45  42  37  53  51  33  47  51  50  31  40  51  47  42  51  41  68  46  53  30  44  52  42  42  52 
19:02:36   44  68  38  51  42  76  50  48  46  54  35  52  40  34  37  63  28  51  57  50  50  50  36  62  58  44  57  52  52 
19:02:44   47  36  36  41  57  48  53  51  53  43  54  46  50  50  72  33  52  51  51  51  54  44  54  43  60  61  76  82  54 
19:02:52   41  56  34  53  51  52  82  60  51  57  51  44  37  42  47  62  50  63  45  60  49  51  38  55  41  34  62  58  33 
19:03:00   53  41  62  51  68  51  42  50  67  44  57  51  51  58  50  76  63  62  51  56  44  61  32  67  54  63  41  56  32 
19:03:08   68  40  38  38  47  42  42  37  50  61  57  63  58  68  58  45  58  63  62  36  42  45  58  53  58  48  57  33  40 
19:03:16   46  67  72  42  58  50  53  51  46  58  53  61  68  70  44  40  57  51  58  63  45  63  54  42  42  39  47  51  42 
19:03:24   38  42  29  35  50  42  50  58  42  34  54  50  58  50  45  49  42  41  44  42  55  45  50  68  72  48  70  59  43 
19:03:32   32  63  42  76  46  68  58  58  57  38  68  51  51  57  51  42  50  42  33  44  50  38  53  51  54  50  50  42  30 
19:03:40   50  42  21  51  43  41  51  51  50  50  41  40  46  67  62  46  68  68  52  58  61  54  61  39  58  58  45  53  51 
19:03:48   38  42  48  37  32  42  35  33  68  30  47  63  51  41  51  50  62  50  42  42  48  33  50  48  60  50  50  47  52 
19:03:56   52  42  53  41  30  41  37  50  36  30  45  36  53  40  53  32  41  40  36  42  31  39  33  35  57  44  35  42  41 
19:04:04   25  32  42  39  30  44  44  57  36  51  35  50  41  45  53  57  44  50  78  40  43  37  41  33  52  46  57  42  42 
19:04:12   30  41  41  46  47  37  50  50  30  38  42  41  34  30  34  50  71  41  45  31  47  41  45  44  30  45  51  42  51 
